CerealAPI Smoketest @ 01-10-2025 11:25:11
BaseUrl: http://localhost:5024/
RunId  : 644ad1e6

[PASS] GET /auth/health (1319 ms) | HTTP 200; body: {"ok":true}
[PASS] GET /weatherforecast (5 items) (71 ms) | HTTP 200; items: 5
[PASS] POST /auth/register (happy path -> 201/200) (852 ms) | HTTP 201; body: {"id":1,"username":"u_644ad1e6"}
[PASS] POST /auth/register (duplicate -> 409) (68 ms) | HTTP 409; body: {"message":"Username already exists."}
[PASS] POST /auth/register (missing username -> 400) (18 ms) | HTTP 400; body: {"message":"Username and password are required."}
[PASS] POST /auth/register (empty password -> 400) (20 ms) | HTTP 400; body: {"message":"Username and password are required."}
[PASS] POST /auth/login (200 + cookie + token) (180 ms) | HTTP 200; token? True
[PASS] POST /auth/login (wrong password -> 401/403) (37 ms) | HTTP 401
[PASS] POST /auth/login (unknown user -> 401/403) (22 ms) | HTTP 401
[PASS] POST /auth/login (malformed -> 400/401/403) (21 ms) | HTTP 401
[PASS] GET /auth/me (no auth -> 401/403) (25 ms) | HTTP 401
[FAIL] GET /auth/me (cookie -> 200 & username) (29 ms) | HTTP 401; body: 
[PASS] GET /auth/me (Bearer -> 200 & username) (137 ms) | HTTP 200
[PASS] GET /auth/me (tampered token -> 401/403) (31 ms) | HTTP 401
[PASS] POST /auth/logout (200) (54 ms) | HTTP 200
[PASS] GET /auth/me efter logout (401/403) (19 ms) | HTTP 401
[PASS] POST /auth/logout (idempotent 200) (52 ms) | HTTP 200
[PASS] POST /auth/login igen (200) (69 ms) | HTTP 200
[PASS] GET /cereals (liste) (120 ms) | HTTP 200; items: 77
[PASS] GET /cereals/top/5 (62 ms) | HTTP 200; items: 5
[PASS] GET /nope (404) (19 ms) | HTTP 404
[PASS] POST /cereals uden auth -> 401/403 (21 ms) | HTTP 401
[FAIL] POST /cereals (indsæt testrække #1) (24 ms) | HTTP 401; body: 
[FAIL] GET /cereals indeholder testrække #1 (109 ms) | HTTP 200; found=False
[FAIL] PUT /cereals/{key} (opdater #1) (36 ms) | HTTP 401; body: 
[FAIL] DELETE /cereals/{key} #1 (200) (23 ms) | HTTP 401; body: 
[PASS] POST /ops/import-csv (1 række via multipart) (168 ms) | HTTP 200; body: {"inserted":1}
[FAIL] DELETE cereals/Import%20One%25%20644ad1e6/I/C (opryd importeret række) (25 ms) | HTTP 401; body: 
[FAIL] POST /products (create prod1 -> 201) (20 ms) | HTTP 401; body: 
[FAIL] POST /products (create prod2 -> 201) (21 ms) | HTTP 401; body: 
[PASS] GET /products (liste >= 2) (104 ms) | HTTP 200; items=78
[FAIL] GET /products/{id} (begge) (23 ms) | need 2 ids
[FAIL] POST /products (duplicate key -> 409) (27 ms) | HTTP 401; body: 
[FAIL] POST /products (update id1 -> 200) (28 ms) | no id
[FAIL] GET /products/{id1} afspejler update (32 ms) | no id
[FAIL] DELETE /products/{id2} (200) (28 ms) | no id2
[FAIL] DELETE /products/{id2} igen (404) (33 ms) | HTTP 401

OVERALL: FAIL  (23/37 passed)
