CerealAPI Smoketest @ 01-10-2025 12:33:09
BaseUrl: http://localhost:5024/
RunId  : 124ff2fb

[PASS] GET /auth/health (147 ms) | HTTP 200; body: {"ok":true}
[PASS] GET /weatherforecast (5 items) (51 ms) | HTTP 200; items: 5
[PASS] POST /auth/register (happy path -> 201/200) (108 ms) | HTTP 201; body: {"id":11,"username":"u_124ff2fb"}
[PASS] POST /auth/register (duplicate -> 409) (25 ms) | HTTP 409; body: {"message":"Username already exists."}
[PASS] POST /auth/register (missing username -> 400) (6 ms) | HTTP 400; body: {"message":"Username and password are required."}
[PASS] POST /auth/register (empty password -> 400) (6 ms) | HTTP 400; body: {"message":"Username and password are required."}
[PASS] POST /auth/login (200 + cookie + token) (171 ms) | HTTP 200; token? True; cookie? True
[PASS] POST /auth/login (wrong password -> 401/403) (26 ms) | HTTP 401
[PASS] POST /auth/login (unknown user -> 401/403) (31 ms) | HTTP 401
[PASS] POST /auth/login (malformed -> 400/401/403) (7 ms) | HTTP 401
[PASS] GET /auth/me (no auth -> 401/403) (24 ms) | HTTP 401
[FAIL] GET /auth/me (cookie -> 200 & username) (29 ms) | HTTP 401; err: Fjernserveren returnerede en fejl: (401) Uautoriseret.
[PASS] GET /auth/me (Bearer -> 200 & username) (59 ms) | HTTP 200
[PASS] GET /auth/me (tampered token -> 401/403) (7 ms) | HTTP 401
[PASS] POST /auth/logout (200) (83 ms) | HTTP 200
[PASS] GET /auth/me efter logout (401/403) (26 ms) | HTTP 401
[PASS] POST /auth/logout (idempotent 200) (64 ms) | HTTP 200
[PASS] POST /auth/login igen (200) (78 ms) | HTTP 200
[PASS] GET /cereals (liste) (106 ms) | HTTP 200; items: 85
[PASS] GET /cereals/top/5 (49 ms) | HTTP 200; items: 5
[PASS] GET /nope (404) (26 ms) | HTTP 404
[PASS] POST /cereals uden auth -> 401/403 (6 ms) | HTTP 401
[FAIL] POST /cereals (indsæt testrække #1) (60 ms) | HTTP 401; body: 
[FAIL] GET /cereals indeholder testrække #1 (111 ms) | HTTP 200; found=False
[FAIL] PUT /cereals/{key} (opdater #1) (20 ms) | HTTP 401; body: 
[FAIL] DELETE /cereals/{key} #1 (200) (8 ms) | HTTP 401; body: 
[PASS] POST /ops/import-csv (1 række via multipart) (136 ms) | HTTP 200; body: {"inserted":1}
[FAIL] DELETE cereals/Import%20One%25%20124ff2fb/I/C (opryd importeret række) (4 ms) | HTTP 401; body: 
[FAIL] POST /products (create prod1 -> 201) (21 ms) | HTTP 401; body: 
[FAIL] POST /products (create prod2 -> 201) (5 ms) | HTTP 401; body: 
[PASS] GET /products (liste >= 2) (110 ms) | HTTP 200; items=86
[FAIL] GET /products/{id} (begge) (6 ms) | need 2 ids
[FAIL] POST /products (duplicate key -> 409) (8 ms) | HTTP 401; body: 
[FAIL] POST /products (update id1 -> 200) (24 ms) | no id
[FAIL] GET /products/{id1} afspejler update (24 ms) | no id
[FAIL] DELETE /products/{id2} (200) (3 ms) | no id2
[FAIL] DELETE /products/{id2} igen (404) (7 ms) | HTTP 401

OVERALL: FAIL  (23/37 passed)
