CerealAPI Smoketest @ 01-10-2025 13:36:36
BaseUrl: http://localhost:7257/
RunId  : a21eca9f

[FAIL] GET /auth/health (93 ms) | HTTP 0; body: 
[FAIL] GET /weatherforecast (5 items) (9 ms) | HTTP 0; items: 0
[FAIL] POST /auth/register (happy path -> 201/200) (30 ms) | HTTP 0; body: 
[FAIL] POST /auth/register (duplicate -> 409) (5 ms) | HTTP 0; body: 
[FAIL] POST /auth/register (missing username -> 400) (6 ms) | HTTP 0; body: 
[FAIL] POST /auth/register (empty password -> 400) (5 ms) | HTTP 0; body: 
[FAIL] POST /auth/login (200 + cookie + token) (11 ms) | ERROR: Den underliggende forbindelse blev lukket: Forbindelsen blev afbrudt uventet..
[FAIL] POST /auth/login (wrong password -> 401/403) (6 ms) | HTTP 0
[FAIL] POST /auth/login (unknown user -> 401/403) (5 ms) | HTTP 0
[FAIL] POST /auth/login (malformed -> 400/401/403) (6 ms) | HTTP 0
[FAIL] GET /auth/me (no auth -> 401/403) (8 ms) | HTTP 0
[FAIL] GET /auth/me (cookie -> 200 & username) (11 ms) | HTTP 0; err: Den underliggende forbindelse blev lukket: Forbindelsen blev afbrudt uventet..
[FAIL] GET /auth/me (Bearer -> 200 & username) (1 ms) | no token
[PASS] GET /auth/me (tampered token -> 401/403) (1 ms) | skipped (no token)
[FAIL] POST /auth/logout (200) (4 ms) | HTTP 0
[FAIL] GET /auth/me efter logout (401/403) (6 ms) | HTTP 0
[FAIL] POST /auth/logout (idempotent 200) (5 ms) | HTTP 0
[FAIL] POST /auth/login igen (200) (5 ms) | ERROR: Den underliggende forbindelse blev lukket: Forbindelsen blev afbrudt uventet..
[FAIL] GET /cereals (liste) (5 ms) | HTTP 0; items: 0
[FAIL] GET /cereals/top/5 (6 ms) | HTTP 0; items: 0
[FAIL] GET /nope (404) (6 ms) | HTTP 0
[FAIL] POST /cereals uden auth -> 401/403 (5 ms) | HTTP 0
[FAIL] POST /cereals (indsæt testrække #1) (4 ms) | HTTP 0; body: 
[FAIL] GET /cereals indeholder testrække #1 (14 ms) | HTTP 0; found=False
[FAIL] PUT /cereals/{key} (opdater #1) (20 ms) | HTTP 0; body: 
[FAIL] DELETE /cereals/{key} #1 (200) (6 ms) | HTTP 0; body: 
[FAIL] POST /ops/import-csv (1 række via multipart) (55 ms) | HTTP 0; body: 
[FAIL] POST /products (create prod1 -> 201) (4 ms) | HTTP 0; body: 
[FAIL] POST /products (create prod2 -> 201) (3 ms) | HTTP 0; body: 
[FAIL] GET /products (liste >= 2) (5 ms) | HTTP 0; items=0
[FAIL] GET /products/{id} (begge) (7 ms) | need 2 ids
[FAIL] POST /products (duplicate key -> 409) (6 ms) | HTTP 0; body: 
[FAIL] POST /products (update id1 -> 200) (2 ms) | no id
[FAIL] GET /products/{id1} afspejler update (2 ms) | no id
[FAIL] DELETE /products/{id2} (200) (1 ms) | no id2
[FAIL] DELETE /products/{id2} igen (404) (5 ms) | HTTP 0

OVERALL: FAIL  (1/36 passed)
